     1	0.19521984 0.71201061 0.09960368  10
     2	0.62637254 0.80801068 0.69423929  10
     3	0.40327581 0.44949356 0.23415687  10
     4	0.66254265 0.80045943 0.40389702  10
     5	0.26398054 0.31123695 0.34667926  10
     6	0.46704370 0.60317308 0.95527012  10
     7	0.33296921 0.35138775 0.86520166  10
     8	0.35198930 0.86531806 0.00031463  10
     9	0.42028669 0.91391447 0.28413530  10
    10	0.04815029 0.56343613 0.69990051  100
    11	0.04594769 0.42529494 0.70980537  100
    12	0.43134778 0.55288018 0.89402947  100
    13	0.94537648 0.34523809 0.14513430  100
    14	0.84882357 0.63304567 0.22121224  100
    15	0.49178993 0.26555009 0.59587022  100
    16	0.30425504 0.79717442 0.66686396  100
    17	0.24064187 0.28218496 0.06334227  100
    18	0.22141789 0.65821822 0.73581846  100
    19	0.68522119 0.32136869 0.04847933  100
    20	0.55918498 0.32931005 0.15690386  1000
    21	0.82203713 0.15710262 0.65840173  1000
    22	0.80151269 0.39772884 0.09489095  1000
    23	0.52170270 0.67630325 0.29225367  1000
    24	0.75554271 0.02509461 0.47725854  1000
    25	0.12944964 0.67313453 0.58089820  1000
    26	0.18934085 0.66430051 0.52052026  1000
    27	0.43609580 0.34264965 0.27256503  1000
    28	0.15500922 0.43227704 0.14022792  1000
    29	0.84903974 0.37948958 0.02732696  1000
    30	0.06730145 0.51145277 0.59456625  4000
    31	0.59270502 0.50910738 0.19640916  4000
    32	0.71125656 0.54053634 0.16249617  4000
    33	0.57920504 0.88721111 0.36821566  4000
    34	0.71869445 0.18094733 0.52763699  4000
    35	0.80317150 0.68816525 0.60191055  4000
    36	0.91005768 0.13623977 0.30587633  4000
    37	0.93659061 0.57186675 0.29832386  4000
    38	0.19187171 0.80502506 0.01489007  4000
    39	0.63546161 0.97645703 0.23220360  4000
    40	0.73751821 0.76969813 0.29383307  4000
    41	0.14920820 0.56022239 0.86848303  4000
    42	0.75323325 0.25686316 0.38458560  4000
    43	0.63714462 0.10128150 0.44938416  4000
    44	0.01482428 0.32331201 0.80467781  4000
    45	0.94912756 0.56336311 0.52403977  4000
    46	0.44913746 0.71932135 0.92195928  4000
    47	0.38697505 0.71730181 0.71504689  4000
    48	0.08231951 0.91342218 0.78674918  4000
    49	0.11536883 0.65689034 0.81303147  4000
    50	0.47368977 0.41894144 0.12788019  4000
    51	0.30130760 0.62995272 0.87643656  4000
